PERIODO_IDEAL ,GENERO ,ESTADO_CIVIL  ,FORMA_INGRESSO               ,NOME_ATIV_CURRIC                               ,CH_TOTAL ,NUM_FALTAS ,MEDIA_FINAL ,SITUACAO                 ,IDADE_PRIMEIRO_ANO ,DURACAO_CURSO ,CREDITO_TEORICO ,CREDITO_PRATICO ,CREDITO_CAMPO ,PERCENTUAL_FREQUENCIA_PERIODO ,PERCENTUAL_FREQUENCIA_DISCIPLINA ,MEDIA_PERIODO ,MEDIA_SEMESTRE ,FORMA_EVASAO
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       2.0 ,       8.55 ,Aprovado                 ,                18 ,          9.0 ,              4 ,              0 ,            0 ,                        64.35 ,                           97.22 ,         4.03 ,          4.03 ,Formado
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       5.0 ,       8.0  ,Aprovado                 ,                17 ,          9.0 ,              4 ,              0 ,            0 ,                        93.33 ,                           93.06 ,         6.48 ,          6.38 ,Formado
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.5  ,Aprovado                 ,                19 ,          9.0 ,              4 ,              0 ,            0 ,                        96.88 ,                          100.0  ,         8.14 ,          8.14 ,Formado
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       2.0 ,       9.0  ,Aprovado                 ,                44 ,          7.0 ,              4 ,              0 ,            0 ,                        78.39 ,                           97.22 ,         4.5  ,          5.06 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       2.0 ,       8.8  ,Aprovado                 ,                19 ,          5.0 ,              4 ,              0 ,            0 ,                        70.14 ,                           97.22 ,         5.29 ,          5.29 ,Reopção de Curso
            1 ,M      ,Casado(a)     ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       8.25 ,Aprovado                 ,                23 ,          5.0 ,              4 ,              0 ,            0 ,                        96.88 ,                          100.0  ,         8.41 ,          8.41 ,Formado
            1 ,M      ,Solteiro(a)   ,Transferência Externa        ,Geometria Analítica para Educação Básica       ,    60.0 ,      18.0 ,       5.0  ,Aprovado                 ,                19 ,         12.0 ,              4 ,              0 ,            0 ,                        60.74 ,                           75.0  ,         2.95 ,          2.59 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Transferência Externa        ,Geometria Analítica para Educação Básica       ,    60.0 ,       6.0 ,       1.45 ,Reprovado                ,                19 ,         12.0 ,              4 ,              0 ,            0 ,                        60.74 ,                           91.67 ,         2.95 ,          2.68 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Transferência Externa        ,Geometria Analítica para Educação Básica       ,    60.0 ,      16.0 ,       1.6  ,Reprovado                ,                19 ,         12.0 ,              4 ,              0 ,            0 ,                        60.74 ,                           77.78 ,         2.95 ,          2.11 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Transferência Externa        ,Geometria Analítica para Educação Básica       ,    60.0 ,      14.0 ,       0.0  ,Reprovado                ,                19 ,         12.0 ,              4 ,              0 ,            0 ,                        60.74 ,                           80.56 ,         2.95 ,          0.36 ,Jubilamento
            1 ,F      ,Solteiro(a)   ,Transferência Externa        ,Geometria Analítica para Educação Básica       ,    72.0 ,       6.0 ,       2.65 ,Reprovado                ,                19 ,          5.0 ,              4 ,              0 ,            0 ,                        55.42 ,                           93.06 ,         3.14 ,          5.59 ,Formado
            1 ,F      ,Casado(a)     ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       9.15 ,Aprovado                 ,                25 ,          7.0 ,              4 ,              0 ,            0 ,                        96.87 ,                          100.0  ,         8.66 ,          8.66 ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Processo Seletivo - SiSU     ,Geometria Analítica para Educação Básica       ,    60.0 ,       0.0 ,       0.0  ,Reprovado                ,                35 ,          6.0 ,              4 ,              0 ,            0 ,                        44.3  ,                          100.0  ,         0.0  ,          0.0  ,Jubilamento
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       2.0 ,       9.0  ,Aprovado                 ,                19 ,          3.0 ,              4 ,              0 ,            0 ,                        97.22 ,                           97.22 ,         6.8  ,          7.37 ,Desistência
            1 ,M      ,Solteiro(a)   ,Vestibular                   ,Geometria Analítica para Educação Básica       ,    60.0 ,       6.0 ,       8.75 ,Aprovado                 ,                20 ,          7.0 ,              4 ,              0 ,            0 ,                        98.26 ,                           91.67 ,         7.94 ,          7.94 ,Formado
            1 ,F      ,Solteiro(a)   ,Transferência Externa        ,Geometria Analítica para Educação Básica       ,    60.0 ,      72.0 ,       0.0  ,Reprovado por Freqüência ,                21 ,          7.0 ,              4 ,              0 ,            0 ,                         3.89 ,                            0.0  ,         0.07 ,          1.28 ,Jubilamento
